ID,Text,Offensive,HateSpeech,Vulgarity,Violence
8988,"@USER ي ليل واضح عليك تحب الـمظاهر  
 للعلم انا اتحدث عن اخلاقي  وتسذا
مااقصد مناصب وفلوس وخرابيط ولو كنت وحده منهم ي ذكي 
وش ابي فيك",OFF,NOT_HS,NOT_VLG,NOT_VIO
8989,اكره اللي يجلس مع مجموعه ناس وهو ما استأذن يعني ممكن فيه موضوع بيننا ما نبي احد يعرفه اي شيء عندي وحده كذا بالمدرسه دايم تسوي ذي الحركه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8990,هذة عقول الي بالهشتاق سوف يتبنون رؤية المملكة 2030واسفاة على هكذا عقول بدل مايزورون مهرجان الجنادرية لمعرفة تراث الاجداد والمعاناة وطرق العيش والصبر والانتاج صاروا يركزون على سفاف الامور ومتابعة وجة فلان وعلان وسلم لي على هكذا عقول وشر البلية مايضحك #بايع_الكليجا,OFF,NOT_HS,NOT_VLG,NOT_VIO
8991,RT @USER زمن عجيب خلي الكلب  يشخر للديب,OFF,NOT_HS,VLG,NOT_VIO
8992,"@USER واللي مشاركين ما حد يعبرّهم يعني. 
سبب إلغاء السؤال غير مقنعه بتاتا. 

نقاشكم ما نقاش.",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8993,"اليوم رحت جامعة الزاهر ‍♀️
ونحن نزعل لو نادونا الدكاترة ياشباب",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8994,"لا تجعلي فكرة سيئة تسيطر عليكِ لأنكِ سيدة أفكارك و ليس العكس .. 

مساءك حب و قوة",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8995,@USER يا اخوان في #وزارة_التربية بمنطقة مبارك الكبير من الصبح اليوم اذاعة مدرسة معاذة العدوية شغالة ولا خلتنا ننام ونتهنا بعطلتنا وليش شغالة في يوم عطلة!!!,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8996,"عندك هيدا المغرد يلي بتكبر الخسه براسه 
لأنو اوجدلها  البيئة المناسبة من ال   للتغذى وتكبر اكتر ف اكتر، و النتيجة لمن يحك راسه بتطلع ريحة",OFF,NOT_HS,NOT_VLG,NOT_VIO
8997,@USER شمس  تطلع  خبر  يباااا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8998,@USER انا بقول تقومي بالهدوء يالا كدا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
8999,@USER سوري ضغط المحاضره خلاني أصرخ,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9000,#بايع_الكليجا الحين بيصير مشهور بس عشانه حلو طيب انا حلوه بعد تعالو صوروني وبنشهر  ، قسم بالله نظامكم زبال,OFF,NOT_HS,NOT_VLG,NOT_VIO
9001,@USER ياكرهي للحركة ذي. تقهر‍♀️,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9002,@USER الله يرزقنا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9003,"@USER ما شاء الله عليك
انا وصلت ربعها بعدين خلااااص",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9004,RT @USER بعض البشر أخلاقهم في غيبوبه مدى الحياة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9005,@USER واشبك تبغي تبكي انحشرتي روحي جيبي لك ضفدع من المستنقع  ع اساس ماخده الدوري بالمرجله الله يخلي احمد عيد لكم سلمكم الدوري وترك المنصب بعدها حقق طموحه هههههههههههههههههههههههههههههههههههه,OFF,HS3,NOT_VLG,NOT_VIO
9006,RT @USER هسي محمود ذنبو شنو تشيل حالو في القصة دي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9007,@USER ده انتى شكلك مشكله,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9008,"@USER عينات عايد واجد ومتعودين نشوفهم لكن
 المصيبه رئيس الهيئه يوافقه الرأي ؟!
وش خليت لنصراوي احمق من ردك هذا",OFF,HS3,NOT_VLG,NOT_VIO
9009,@USER اكبر نصابين موبايلي,OFF,HS5,NOT_VLG,NOT_VIO
9010,ياكرهي للي يعطيك وقت وموعد واخرتها مايمشي مع الوقت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9011,"RT @USER اخترت فحول واخترت ديوثين ولسه بختار تانى من كل الميول 
دلوقتى جروب الساديه
( خاضع _ خاضعه_ ملكه_فحل)
وطبعا مفيش دخول…",OFF,NOT_HS,VLG,NOT_VIO
9012,RT @USER المفروض تكتب بالبايو فاقد بدلا من ناقد,OFF,NOT_HS,NOT_VLG,NOT_VIO
9013,@USER مشوار الكويت تعال  أنت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9014,ظهري يحتاج تفكيك .,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9015,سبحان الله توه يقوم الضمير بالحياء والحشمة وترا الحياء ليس محصوراً على المرأه للجنسين #بايع_الكليجا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9016,"#بايع_الكليجا
الله يهديكم عيب اللي صار
حتى لو عجبك اذكري ربك  ولكن مالك حق تصورينه أبدا اصلا كيف جاتكم جراءه وتصورون الرجال عادي والله كأنه من محارمك .",OFF,HS6,NOT_VLG,NOT_VIO
9017,@USER جب,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9018,#بايع_الكليجا .. صحيح انه وسيم بس مو لدرجة ارز نفسي له عشان اصور معه ليه وانا مجنونه وبايعه عمري الحمدلله بس,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9019,@USER الفيديو يصف الواقع ،، لاتعليق,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9020,@USER هذا الزهراني حفيد بني صهيون لادين ولا مذهب عاش عبد وبيموت عبد ابن عبد مدعوس الراس والكرامه,OFF,HS1,NOT_VLG,VIO
9021,"اللي بصراحه لا تخلين الذكور واشباه الذكور وما الى ذلك يكسروك حبيبتي 
 علييييه",OFF,HS6,NOT_VLG,NOT_VIO
9022,@USER اااييييي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9023,من الحين اقول شوفوا التحفه الفنيه الي بتطلعها نتفليكس للعرب بدال المسلسلات  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9024,#افضح_معنفك ٢ابتدائي اخذت كف على خدي اليسار ماشي220  من سرعته كنت ماسكه المرسمه ومخدده و دخل طرف المرسمه بعينيوالسبب اني ماحليت الواجب؟؟؟؟؟ المتسبب: استاذه جميله الطويرقي,OFF,NOT_HS,NOT_VLG,NOT_VIO
9025,@USER دماااار نفسي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9026,@USER امحق من فخم,OFF,NOT_HS,NOT_VLG,NOT_VIO
9027,فوق ثقالة الدم تطلع نشبة بعد  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO
9028,"-٨ خو الكلب  
@USER",OFF,NOT_HS,NOT_VLG,NOT_VIO
9029,@USER مشاهدي بداية ... القناة السخيفة,OFF,NOT_HS,NOT_VLG,NOT_VIO
9030,@USER لحوووول الله قاعده اسولف معاها في البيي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9031,موضوع الساعه 9 ده مش نافع,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9032,عنجد  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9033,"@USER بسم الله عليك يا بنت الهيلا ️
اقول حظي طاره يعني مفحط يعني راعي تفحيت تكحيس و موتره كابرس يعني سريع و ما يقدر يلحقه راعي الدوريه",OFF,NOT_HS,NOT_VLG,NOT_VIO
9034,@USER وش سالفتها دعة ربي يرزق البنات رزقه حلوه مثل وجهه الرجال وجماله وانت تفكيرك وسخ ونعال هذي كل سالفه,OFF,NOT_HS,NOT_VLG,NOT_VIO
9035,@USER وبعد العصر عذااااب أحس نص يومي رايح بطريق الملك عبدالعزيزاختبار للصبر,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9036,@USER سالتهم امس ومايردون,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9037,@USER شسويت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9038,@USER احوول,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9039,@USER بشوف ماشفت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9040,"RT @USER عنجدد 
كيف لو كان 31 يوم؟  URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9041,عارفين وحيد القرن انا وحيدة اكتر منو,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9042,"RT @USER لليوم الثاني وضع الطلاب مع إغلاق الباب
ويستمر العناء مع الأجواء البارده URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9043,#بايع_الكليجا مزيون ماشاء  الله عليه .. بس اللي مسوينه هالبنات المشافيح اوفر والله وقلة حياء,OFF,HS6,NOT_VLG,NOT_VIO
9044,@USER  حرام وصلت عشرة آلاف ورميناها مالقينا أحد يستقبلها,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9045,RT @USER النفسيه محتاجه احد يجلس جنبي وكل شوي أصفقه كف واقوله : يرضيك اللي أنا فيه هاه يرضيك . #قروب_امير_للدعم,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9046,@USER وانا اقول ليه هالزحمه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9047,@USER انا بئا المنطق بتاعكو دا ماعرفوش,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9048,@USER اضحك ع اللي يقول صباحك انا وانتي راده,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9049,"@USER والله الناس مب بهايم بلا عقل تُقاد ... كلن وهواه
... أنا طرحت تجربتي وتجربت عيلتي اللي ملوا من استغلال أغلب الأطباء بكل التخصصات
وهذا لا يعني أنه ما يوجد الجيد والشريف
.... لكن للأسف يكثر الخبيث",OFF,HS5,NOT_VLG,NOT_VIO
9050,"#بايع_الكليجا استغفر الله العظيم جد جد شي مخزي أنا تفشلت وانا اشوف المقطعلاي حال وصلنا،أول مره تشوفون واحد وسيم؟!اش صاير بالدنيا ،،مو مصدقه الي قاعد يصيرأجل لو تروحون العراق وتشوفون الجمال هناك وش بتسوون لا إله الا الله 

أخجلوا ذا الخزي واصل للترند",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9051,@USER القنفذه غباااااارررر,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9052,فوق ان القزع مكروه ومايجوز ، شوفو وشلون اشكالهم تضحك ومقززه يييع  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO
9053,"من يخوض المعركة ضد الجيش الوطني في نهم ...؟
طيران التحالف يساند الحوثيين",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
9054,RT @USER في انتظار اجابة عمو جوجل  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
