HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated_tweet
13,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,fearful_abusive_offensive_hateful_normal,direct,confusion_indifference,origin,indian/hindu,"we too are fighting against colonialism, in this case the colonization of African and Arab-Mu… @url"
14,@user @user @user alors pas du tous toi tu es vraiment attardé,abusive_offensive,indirect,indifference,other,individual,@user @user @user then not at all you are really retarded
15,@user sale arabe ( arrête avec tes hontes toi ),offensive_hateful,indirect,anger_indifference,origin,arabs,@user dirty Arab (stop being ashamed)
16,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,hateful,direct,shock,origin,other,the “dirty Jew” highlighted unlike the others lol #lejouroujaibrulemoncoeur
17,@user ohhh la violence je meuuurs,normal,indirect,indifference,other,other,@user ohhh the violence I die
18,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,disrespectful,direct,anger_confusion_fear_indifference_disgust,origin,individual,"in view of this simple statement, it is difficult to know whether it is a neo-Nazi, a leftist or an Islamist. @url"
19,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,abusive,direct,shock,origin,other,@user what is an offense against terrorism is to see our leaders who do nothing about the rise… @url
20,glik tu es un gros mongol,offensive,direct,indifference,origin,indian/hindu,glik you are a big mongol
21,@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,offensive,indirect,indifference_disgust,other,special_needs,@user what a mongol they just have to not give monstrous salaries to the least shitty player who comes
22,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,abusive_offensive,direct,shock,other,individual,"@user @user @user stop getting angry, you're not credible, a stupid retarded kid would say, I see... @url"
23,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,abusive,direct,anger_confusion_sadness_indifference_fear,origin,left_wing_people,irl an anti-racist bobo leftist: “when I read @user or @user because of their provocations i… @url
24,@user t’a vu gl dirait un attardé...,abusive_offensive,indirect,sadness_disgust,disability,special_needs,@user saw you gl would say a retard...
25,forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,abusive_offensive,direct,fear,origin,indian/hindu,"Islam forum: in the name of the fight against separatism and terrorism, the Chinese state is undertaking de-Islamization… @url"
26,@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,offensive_disrespectful,indirect,shock,origin,arabs,@user @user @user always gives the dirty work to the Arab on duty and these crazy people feel integrated
27,@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url,offensive,indirect,anger_indifference,origin,african_descent,@user the renois are the first to cut the rebeus but when we tackle them for fun they go out… @url
28,@user tu te crois intelligent avec ta réflexion facebook d'attardé ?,offensive,direct,anger_sadness_indifference_disgust,disability,individual,@user do you think you are intelligent with your retarded Facebook thinking?
29,rt @user c'est con un gauchiste quand meme !!! @url,fearful,direct,anger_sadness_indifference_disgust,origin,asians,"rt @user he's stupid, a leftist anyway!!! @url"
30,shoutout les daronnes rebeus avec leurs fils adorés @url,abusive,direct,sadness,origin,indian/hindu,shoutout les daronnes rebeus with their adored sons @url
31,@user @user l'empire mongol,normal,indirect,sadness,other,other,@user @user the Mongolian Empire
32,@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url,normal,indirect,indifference,other,other,@user @user @user and you are against the PMA for everyone and against abortion. el… @url
33,@user pour ou contre l'avortement ?,normal,indirect,sadness,other,women,@user for or against abortion?
34,bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url,offensive,direct,sadness,origin,asians,damn there is a dirty Algerian Arab who insults mother of a bitch because I deleted him from snap after he… @url
35,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,fearful_abusive_hateful,indirect,indifference,other,individual,@user @user their violence against abortion homosexuals marriage for all is largely cobdamnabl… @url
36,@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,normal,indirect,anger_indifference,other,jews,@user @user @user all the more bizarre since Flavius ​​Josephus remained Jewish to the tips of his nails.
37,quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,normal,direct,anger_fear_indifference_sadness_disgust,origin,muslims,when I leave the hairdresser I am truly the most handsome of all the rebeus
38,@user @user @user @user @user @user @user la vraie violence c’est de force… @url,offensive,indirect,shock,other,other,@user @user @user @user @user @user @user real violence is by force… @url
39,mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url,offensive,direct,sadness,origin,other,but damn respect your cat at least he doesn't act mongolian to attract attention @url
40,peut s'attendre à des lendemains difficiles pour le royaume-uni si jeremy #corbyn islamo-gauchiste de la pir… @url,disrespectful,direct,indifference,other,left_wing_people,can expect a difficult tomorrow for the united kingdom if jeremy #corbyn islamo-leftist of the pir… @url
41,@user t’es surtout un attardé,offensive,indirect,shock,disability,special_needs,@user you are above all a retard
42,@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… @url,normal,indirect,indifference,other,immigrants,@user @user yes I don't understand why those who want to welcome migrants don't take… @url
43,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url,normal,indirect,indifference,other,other,@user @user I'm trying to understand now I know that when we say we're anti-Zionist it... @url
44,@user quand tu lui dit que la commission est un monstre anti démocratique non élu il te traite de débile! il vi… @url,offensive,indirect,indifference,other,individual,@user when you tell him that the commission is an unelected anti-democratic monster he calls you stupid! he vi… @url
45,ces dames arabes toujours à se plaindre @url,fearful,direct,sadness,origin,indian/hindu,these Arab ladies always complaining @url
46,@user @user l'état civil chez les renois c'est en option aussi.,fearful_abusive_offensive_normal,indirect,indifference,origin,other,@user @user civil status for the Renois is optional too.
47,@user @user @user halim95 au lieu d' hurler comme un attardé mental ouvrez les yeux sur les parole… @url,offensive,indirect,confusion_fear_indifference_sadness_disgust,other,individual,@user @user @user halim95 instead of screaming like a mentally retarded person open your eyes to the words… @url
48,@user dirait un gauchiste qui chouine source ?,fearful_abusive_disrespectful_normal,direct,confusion_indifference,other,left_wing_people,@user would say a leftist who whines about the source?
49,@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,offensive_hateful,indirect,indifference,origin,arabs,@user I jms said the opposite dirty Arab just it's like for your birthday I'm buying you a ps4 with red dead
50,jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis très sereinement … @url,abusive,direct,sadness_indifference,origin,other,I see the Renois how he talks about white people his vnr and you tell him it's racist he tells you very calmly… @url
51,rejetez le machisme blanc vous aurez le machisme africain.,abusive,direct,indifference,origin,african_descent,reject white machismo you will have African machismo.
52,doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada,normal,direct,shock,origin,african_descent,down jacket and uggs really the renois overdo it #jaimelestylehivermaispaslefroid #jsuisunevraigwada
53,c est qui le mongol en face bourdin? @url,disrespectful,direct,confusion_shock,origin,individual,Who is the Mongolian opposite Bourdin? @url
54,#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url,fearful,direct,anger_confusion_fear_indifference_sadness,origin,other,#cedricherrou asks French politicians to manage migrants. what about African leaders + busy… @url
55,je suis coincé à berlin entre une manifestation d’extrême droite contre l’avortement une autre de gauchistes et un… @url,abusive,direct,shock,origin,individual,"I'm stuck in Berlin between a far-right demonstration against abortion, another of leftists and a… @url"
56,@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,offensive,direct,sadness,origin,left_wing_people,@user @user liebig. like any good leftist fuels anti-white and anti-French racism!!!!
57,@user @user et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant… @url,offensive,direct,indifference,other,individual,@user @user and obviously not able to send me a poor congenital random retarded link. now… @url
58,@user tu nous ramène une maladie de jérusalem?],hateful,indirect,sadness,religion,jews,@user are you bringing us a disease from Jerusalem?]
59,@user la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s’attaque trop à eux,fearful,indirect,shock,origin,african_descent,@user half of the Renois here they have the seum against the Arabs but it's good jtweet on the Renois 1 time attacks them too much
60,@user @user @user non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min,offensive,indirect,indifference,other,individual,"@user @user @user no but leave this big Mongolian, he's going to tweet a pro Catalan UEFA conspiracy in 5 minutes"
61,vidéo voici comment des migrants africains vivent en #france c’est pire qu’en #afrique @url,abusive_normal,indirect,sadness,origin,immigrants,video here is how African migrants live in #france it is worse than in #africa @url
62,@user décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con… @url,normal,direct,sadness,origin,other,@user definitely any retard can these days hold the professional card. see the idiot again… @url
63,@user mathilde c est normal il bien une tète intello attardé !doux baisers,offensive,indirect,anger_sadness_indifference_disgust,other,individual,@user mathilde it's normal he's definitely a retarded intellectual head! sweet kisses
64,@user @user @user mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou… @url,normal,indirect,indifference,other,other,@user @user @user mr simon you cannot justify or mitigate the violence of mr zemmou's remarks… @url
65,Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de la voiture,abusive_offensive,direct,fear_indifference,origin,individual,Being 4 renois in a 206 background music vapes galore and forgetting the car papers
66,je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie @url,normal,direct,indifference,origin,other,I am vegetarian and here is what meeting a Mongolian breeder made me realize about ecology @url
67,@user @user @user de plus la majorité des migrants venant en france ne cherchent pas du tout le n… @url,fearful_normal,indirect,indifference,origin,immigrants,@user @user @user moreover the majority of migrants coming to France are not looking for the n… @url
68,@user j'espère que pas eu un mongol qui essayé de prouver ça en sautant depuis son balcon,offensive_normal,indirect,indifference,disability,individual,@user I hope there wasn't a Mongolian who tried to prove that by jumping from his balcony
69,rt @user y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho,hateful,direct,indifference,origin,indian/hindu,rt @user there's a girl in class she's full of racism towards Arabs but she calls an Asian a ching cho
70,@user c'est un golden retriever une race créée par des blancs ces ching chong ne méritent ni nos chiens ni nos inventions.,disrespectful,direct,sadness,origin,other,@user it's a golden retriever a breed created by white people these ching chong deserve neither our dogs nor our inventions.
71,ce n'est pas seulement à #chateaurouge l'avancée de l'immigration et de l'islamisation sont visibles dans nos rues… @url,abusive,direct,sadness,origin,special_needs,it is not only in #chateaurouge the advance of immigration and Islamization are visible in our streets… @url
72,dc maintenant dire que @user ou le @user sont des lobby juif et sioniste sachant qu’il se revendique tel que… @url,normal,direct,shock_indifference,origin,jews,dc now say that @user or the @user are a Jewish and Zionist lobby knowing that it claims to be such… @url
73,@user @user @user @user @user @user @user bah précise qui tu demande t'es con ou t'es attardé ?,offensive,direct,sadness,other,individual,@user @user @user @user @user @user @user well specify who you are asking are you stupid or are you retarded?
74,musée mémorial des victimes du terrorisme,disrespectful,direct,indifference,origin,other,memorial museum for victims of terrorism
75,c'est france inter sur papier repère gauchiste,offensive,direct,sadness_fear,origin,indian/hindu,it's France Inter on leftist marker paper
76,je suis trop attardé sur le bonheur des gens j'ai laisser passer l'mien ...,offensive,direct,anger_fear_indifference_sadness_disgust,origin,other,"I'm too focused on people's happiness, I let mine go..."
77,ce n’est pas tous les renois qui suivent son raisonnement ne l’insulte pas tu perds des hassanets pour rien @url,normal,direct,sadness,origin,other,"Not all Renois follow his reasoning, don't insult him, you're losing Hassanets for nothing @url"
78,le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url,abusive,direct,anger_fear,origin,left_wing_people,the hashtag #pasdevague finally sounds the death knell for the lax leftist ideology which has predominated for years at se @url
79,@user @user mdrrrr attends t'as vraiment cru qu'ils allaient pas répondre à une attardé qui dit d… @url,abusive_offensive,indirect,sadness,origin,individual,"@user @user mdrrrr wait, did you really think they weren't going to respond to a retard who says… @url"
80,@user @user fascinant la capacite des gauchistes tjrs rejeter la faute sur les autres. cessez dimp… @url,offensive_disrespectful,indirect,confusion_indifference,other,left_wing_people,@user @user fascinating the ability of leftists to always blame others. stop dimp… @url
81,@user @user @user les arabes empruntent le zéro aux indiens au ix eme siècle !!!,normal,indirect,indifference,origin,arabs,@user @user @user the Arabs borrowed zero from the Indians in the 9th century!!!
82,@user @user mais c'est une vidéo qui tourne bande de mongol mdrr,abusive_offensive,indirect,indifference,disability,special_needs,@user @user but it's a video that turns mongolian lol
83,zemmour aphatie radicalité de l'un terrorisme intellectuel de l'autre ... une maladie: les idéologies une vic… @url,hateful,indirect,indifference,other,individual,zemmour aphatie radicality of one intellectual terrorism of the other... an illness: ideologies a victim… @url
84,@user sale juif musulmans je vais salé tes morts et les manger,offensive,direct,shock,religion,jews,@user dirty Jewish Muslims I will salt your dead and eat them
85,qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,normal,indirect,shock,origin,asians,Who hates going to Chinese this week? I really want... a noich
86,@user laisse tomber t’es un mongol,offensive,direct,fear,origin,individual,"@user forget it, you're a Mongolian"
87,@user j'y peut rien si t'es attardé et ta pas compris,offensive,direct,indifference,other,individual,@user I can't help it if you're retarded and don't understand
88,euthanasie avortement peine de mort #pma #gpa la société contre la vie bat son plein et le diable vous embra… @url,normal,direct,indifference,origin,other,euthanasia abortion death penalty #pma #gpa society against life is in full swing and the devil will kiss you… @url
89,c'est tres classique qu'apres une periode gauchiste un redressement s'effectue d'autant plus violent que la period @url,normal,direct,shock,other,other,it is very classic that after a leftist period a recovery takes place all the more violent than the period @url
90,@user c’est de la violence dont vous êtes le produit?,normal,direct,sadness,origin,other,@user is this violence of which you are the product?
91,bon débarras ! laisse le journal lemonde pleurer adepte de l’islamisation et de l’africanisation de notre conti… @url,abusive,direct,shock,origin,individual,"good riddance! let the lemonde newspaper cry, a supporter of the Islamization and Africanization of our continent… @url"
92,est-ce que ça existe des familles renois qui adopte des enfants blancs ?,offensive,direct,sadness,origin,other,Are there any families in Rennes who adopt white children?
93,@user que des renois qui sont d'accord avec son tweet ...,offensive_normal,direct,indifference_disgust,other,other,@user only people who agree with his tweet...
94,@user ya pas besoin d’avoir 2000 personne pour qu’il ait danger. un rageux gauchiste suffit.,offensive,indirect,shock,origin,left_wing_people,@user you don't need to have 2000 people for it to be dangerous. one angry leftist is enough.
95,@user @user @user que mongol,offensive,indirect,sadness,other,individual,@user @user @user que mongolian
96,@user @user et puisqu'on est là dessus les chiffres soit disant arabes que nous utilisons ne sont p… @url,disrespectful_normal,indirect,indifference,origin,arabs,@user @user and since we are on this subject the so-called Arabic numbers that we use are not… @url
97,@user @user @user materialiste et extreme gauchiste c'est pas tres compatible si ??? t'as re... @url,fearful,indirect,confusion_indifference,other,left_wing_people,@user @user @user materialist and extreme leftist it's not very compatible though??? you re... @url
98,qu'attendre d'un gauchiste moustachu la staline ? Ça! @url,disrespectful,direct,sadness,other,left_wing_people,"What can we expect from a mustachioed leftist, Stalin? That! @url"
99,@user les renois du havre c'est des bon barges,abusive_offensive_hateful_normal,indirect,indifference,origin,african_descent,"@use the Renois du Havre, they are good barges"
100,@user mais je suis tout fait d'accord avec vous. je ne suis pas un islamo-gauchiste et je ne nie pas l'antisem... @url,fearful_abusive_disrespectful_normal,indirect,indifference,other,left_wing_people,@user but I completely agree with you. I am not an Islamo-leftist and I do not deny anti-seism... @url
101,@user @user @user @user @user juste un gauchiste toujours à donner des leçons de morale,normal,indirect,shock,other,left_wing_people,@user @user @user @user @user just a leftist always giving moral lessons
102,us #pittsburgh 11 morts dans l’attaque de la synagogue #treeoflife assaillant arrêté un néo nazi complotiste anti… @url,abusive_normal,indirect,sadness,other,other,us #pittsburgh 11 dead in synagogue attack #treeoflife assailant arrested neo-Nazi anti-conspirator… @url
103,@user pareil moi c est tout le temps de la violence genre j assisté à un meurtre,abusive_normal,indirect,shock,other,individual,@user the same for me it's violence all the time like I witnessed a murder
104,@user @user putain j'ai tellement peur devant tant d'argument d'attardé,offensive,indirect,indifference,other,other,@user @user damn I'm so scared by so many retarded arguments
105,d'autres moyens sont déployés pour empêcher l'exode de migrants economiques africains et décourager leur transit pa… @url,abusive_normal,direct,shock,origin,immigrants,other means are deployed to prevent the exodus of African economic migrants and discourage their transit through… @url
106,candidate démocrate en iowa interview sur les menaces contre l’avortement en oregon États qui ont commencé à vote… @url,abusive,direct,sadness,origin,left_wing_people,democratic candidate in iowa interview on threats against abortion in oregon States that have started to vote… @url
107,@user @user un gros mongol qui va porter plainte pour un compte parodique heureusement que la hon… @url,offensive,direct,sadness,other,asians,@user @user a fat Mongolian who is going to file a complaint for a parody account fortunately the hon… @url
108,ya des renois dans tl cest mariage franchement,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,african_descent,there are renois in tl it's marriage frankly
109,@user tu rigolais aussi quand charb allait acheter son pain avec une protection policière pauvre gauchiste demeuré ?,offensive,direct,indifference,other,left_wing_people,"@user were you also laughing when charb went to buy his bread with police protection, poor leftist left?"
110,@user @user vous comprenez tout de travers. il n'appelle pas les africains à franciser leurs noms… @url,normal,indirect,confusion_fear_indifference_disgust,origin,african_descent,@user @user you understand everything wrong. he does not call on Africans to Frenchify their names… @url
111,@user et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe,abusive_normal,indirect,indifference_disgust,other,other,@user and I don't see how being called Mongolian would be an insult? kind of Russian
112,@user @user les frères musulmans dans tout leur délire complotiste antisémite et supprémaciste,offensive,indirect,disgust,religion,muslims,@user @user the Muslim brothers in all their anti-Semitic and supremacist conspiracy delirium
113,nikomouk sale arabe toi et ton poignet tordu — azzedine fdp tout trikard ta grand mere @url,offensive,direct,indifference,origin,individual,nikomouk dirty Arab you and your twisted wrist — azzedine fdp all trikard your grandmother @url
114,bien des migrants vivaient aussi dans l'illégalité aux États-unis @url,normal,direct,sadness,origin,indian/hindu,many migrants also lived illegally in the United States @url
115,@user @user mairie socialope islamo-gauchiste traitre à la france pour résumer,normal,indirect,indifference_disgust,other,left_wing_people,@user @user town hall socialope islamo-leftist traitor to France to summarize
116,le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo… @url,hateful,direct,shock,origin,other,the ardent Catholic aid promoter of the savagery and Islamization of Europe! his devout Catholicism… @url
117,@user @user vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cuc... @url,disrespectful,indirect,indifference,other,left_wing_people,@user @user do you know another word than extreme right madam leftist? It's a bit lame... @url
118,l'islamisation de la france en pleine expansionle résultat de l'infiltration des musulmans ds ts les strates de la… @url,normal,direct,shock,religion,muslims,the Islamization of France in full expansionthe result of the infiltration of Muslims into the strata of the… @url
119,- grèce : augmentation du nombre d’enfants réfugiés et migrants… @url,disrespectful,direct,sadness,origin,immigrants,- Greece: increase in the number of refugee and migrant children… @url
120,dois mongol @url,offensive,direct,anger_disgust,disability,special_needs,have to mongolian @url
121,les rebeus il glo à la fac grâce à la barbe,normal,direct,anger_confusion_sadness_indifference_fear,origin,indian/hindu,the rebeus he glo at the university thanks to the beard
122,les latinos les renois @url,abusive,direct,sadness,origin,left_wing_people,latinos les renois @url
123,@user il également laissé entendre qu'islam = terrorisme. tranquillou un samedi soir sur une chaîne du se… @url,abusive_offensive_hateful,indirect,shock,religion,muslims,@user he also implied that Islam = terrorism. tranquillou on a Saturday evening on a channel in the se… @url
124,@user eh bin tu restes à oran!!! sale arabe que tu es,offensive,direct,anger_confusion_fear_indifference_disgust,origin,indian/hindu,@user well you stay in oran!!! dirty Arab that you are
125,les tutos en français sur youtube c’est insupportable les 3/4 des vidéos c’est des mecs ils te parlent comme si t’étais un attardé,normal,direct,shock,origin,other,"the French tutorials on YouTube are unbearable 3/4 of the videos are guys, they talk to you like you're retarded"
126,alors pourquoi cette condamnation ? la faute à une justice « gauchiste » à de mauvaises fréquentations ?! vous ête… @url,fearful,direct,shock,origin,individual,so why this condemnation? the fault of a “leftist” justice system and bad company?! you are… @url
127,@user dirait un gros daron antillais sur la derniere,normal,indirect,indifference,other,other,@user would say a big West Indian daron on the last one
128,plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo… @url,abusive_normal,direct,shock,origin,other,rather disappointed with the start of s6 of house cards which focuses too much on francis' legacy and not enough on the evolution… @url
129,@user @user ah arrive le gauchiste ne supportant pas qu'on ne puisse avoir un avis different. bon blocage faites vous plaisir,fearful_abusive_offensive_disrespectful_normal,direct,sadness,other,left_wing_people,"@user @user ah here comes the leftist who can't stand the fact that we can't have a different opinion. good blocking, have fun"
130,@user @user ptdrrrrr même aps c’est pck il fait que rt dès truc et sais que la plupart des renois d… @url,abusive_disrespectful,indirect,sadness,origin,african_descent,@user @user ptdrrrrr even aps it's pck he does that rt from thing and know that most of the renois d… @url
131,@user je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es... @url,normal,indirect,indifference,other,left_wing_people,@user I am not a leftist as you say. I am never considered left-wing. you are... @url
132,ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol,hateful,direct,sadness_fear,origin,asians,what kills is that even offset he is fed up with cardi b wallah apart from his success no one can support this big mongolian
133,@user ah oui le tryptique immigration délinquance terrorisme. qui est conforté par le nombre d'attentats te… @url,abusive,direct,sadness,origin,christian,@user ah yes the triptych immigration delinquency terrorism. which is reinforced by the number of terrorist attacks… @url
134,mais ferme ta gueule les renois fake woke ptn @url,offensive,direct,indifference_disgust,origin,other,but shut up the renois fake woke ptn @url
135,arrêtez de crier à l'invasion quand la méditerranée est devenu le cimetière de la majorité des mig… @url,abusive,direct,confusion_fear,origin,other,stop shouting about invasion when the Mediterranean has become the cemetery of the majority of mi… @url
136,@user tkt ses des mongol,offensive,direct,anger_sadness_indifference,other,other,@user tkt its mongolian
137,@user c pas pro wallah c à cause d’eux qu’on est tous vu comme des mongol,offensive,direct,sadness,origin,left_wing_people,@user c not pro wallah c because of them we are all seen as mongolian
138,@user @user @user ouais mais si les arabes ont perdu la et pas ailleurs c'est aussi parce que nous… @url,normal,indirect,shock,origin,arabs,@user @user @user yeah but if the Arabs lost there and not elsewhere it’s also because we… @url
139,les chemins montagneux à 1700 m: les nouvelles voies empruntées par les migrants africains pour rejoindre l’italie… @url,abusive,direct,sadness,origin,indian/hindu,mountainous paths at 1700 m: the new routes taken by African migrants to reach Italy… @url
140,tout comme l'allemand mène au nazisme quel attardé ce mec @url,abusive,direct,sadness,origin,other,just like German leads to Nazism what a retard this guy is @url
141,quand croise des rebeus,fearful,direct,anger_indifference,origin,individual,when you meet rebels
142,@user mdrrrrr engage sale arabe,offensive,direct,shock,origin,arabs,@user mdrrrrr hires dirty arab
143,inviter des arabes et des noirs sur un plateau télé c’est p…,fearful,direct,anger_confusion_sadness_shock_indifference,origin,indian/hindu,inviting Arabs and blacks on a TV set is p…
144,@user un vlog d'attardé à l'ancienne,offensive,indirect,indifference,other,other,@user an old-fashioned retard vlog
145,les renois à rennes savent que courir,fearful,direct,confusion_sadness_shock_indifference,origin,other,the Renois in Rennes know that running
146,je suis en train de nettoyer chambre et vous savez sur quoi je m’attarde le plus ? le rangement de mon makeup ma… @url,abusive,direct,shock,origin,individual,I'm cleaning my room and you know what I focus on the most? storing my makeup my… @url
147,@user @user @user @user ? quelle forme de violence ? je pose juste la question de savoir ce q… @url,normal,indirect,indifference,other,other,@user @user @user @user ? what form of violence? I'm just asking the question of knowing what… @url
148,série d’agressions avec violence : “des faits de trop mais peu nombreux” en corse @url @url,abusive,direct,sadness,origin,other,series of violent attacks: “too many but few facts” in Corsica @url @url
149,@user @user @user @user bah meilleur que tes mensonges de naïf attardé qui croit que la loi… @url,offensive_disrespectful,direct,sadness,other,individual,@user @user @user @user well better than your lies of a naive retard who believes that the law… @url
150,@user je déteste alain soral. c’est un raciste antisémite complotiste manipulateur,normal,indirect,indifference,other,individual,@user I hate Alain Soral. he is a manipulative conspiratorial anti-Semitic racist
151,@user si vous voulez mon avis le patient mike doit canaliser tout son amour sous forme de violence...,normal,indirect,indifference,other,other,@user if you want my opinion patient mike must channel all his love in the form of violence...
152,@user @user @user le probleme c'est qu'un gauchiste profond peut rédiger un tel tweet. gauche=maladie mentale,offensive,indirect,shock,other,left_wing_people,@user @user @user the problem is that a deep leftist can write such a tweet. left=mental illness
153,@user @user blabla de politicard attardé cherchant le buzz,offensive_hateful_disrespectful_normal,indirect,sadness,other,individual,@user @user blabla of a retarded politician looking for a buzz
154,@user @user @user @user @user @user mongol,offensive,indirect,shock,other,individual,@user @user @user @user @user @user mongolian
155,bon les renois vous êtes retourné chez h&amp;m depuis votre cinéma là ?,abusive,direct,sadness,origin,other,"Well, Renois, did you return to H&amp;M from your cinema there?"
156,@user bouahahhaa il se branle sur les cosplay de sneaky cet attardé,normal,direct,fear_shock_indifference_sadness_disgust,origin,other,@user bouahahhaa he jerks off to sneaky's cosplay this retard
157,pour en finir avec la cruelle imposture des migrants (4/4) - abbé olivie... @url via @user,offensive,direct,shock,origin,immigrants,to put an end to the cruel imposture of migrants (4/4) - abbot olivie... @url via @user
158,non mais c'est quoi ce mongol macron il vit dans quel monde,disrespectful,direct,confusion_indifference,origin,indian/hindu,no but what is this mongolian macron in what world does he live?
159,#harcèlement sociale. piratage informatique. vandalisme auto,normal,direct,shock,disability,individual,#socialharassment. computer hacking. car vandalism
