HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated tweet
30,@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,normal,direct,anger_indifference,origin,individual,"@user @user Clean from cleanliness, not clean. Where did he study? There is nothing wrong with someone who drinks camel urine, let you know"
31,@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,hateful,direct,shock,origin,individual,"@user @user @user My man, what are you doing? Most likely camel urine"
32,@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,hateful,direct,shock,origin,other,@user This is if they had a mind to think about it. The camel's urine made them like cattle
33,@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,abusive_hateful,direct,indifference_disgust,origin,arabs,"@user @user @user It is like someone who explained water with water.. You idiot, the whole world knew that you are pigs, not just the Saudis.. I will go to the network… @url"
34,@user @user كلهم خنازير المجوس,abusive_hateful,indirect,anger_disgust,other,other,@user @user They are all the pigs of the Magi
35,@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,offensive,indirect,anger_disgust,other,individual,@user This dog suckling from a pig is the architect of the Nasraoui fall in the league
36,@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,normal,indirect,indifference,other,other,"@user @user I remember when we first trained leukemia children how to defend themselves in the event of harassment, and we received warnings and panic because… @url"
37,اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,disrespectful_normal,indirect,indifference,other,other,Whoever enters a dirty environment bears its consequences until he becomes as dirty as them.
38,وحدة مناهضة التحرش والعنف ضد المرأة,normal,direct,indifference,gender,women,Unit for combating harassment and violence against women
39,والله هندوس ع وش اللي جابوهم السبت,offensive,indirect,indifference,other,indian/hindu,"I swear to God, Hindus, what did they bring on Saturday?"
40,@user ياشارب بول البعير العباسيين هم الهاشميين,offensive,indirect,indifference,origin,individual,@user You drink the camel’s urine. The Abbasids are the Hashemites
41,بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,abusive_offensive,indirect,shock,other,individual,"A gay brute, his mother is a whore, his father is a cuckold, the whole family has a crack @url"
42,صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url,normal,indirect,indifference_disgust,other,other,"It is true, when our science illuminated the earth and fools thought it was magic, Islam allowed camel urine only for treatment, and this is what scientific science believed... @url"
43,@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,offensive,direct,disgust,origin,other,"@user @user What respect, you pig and the Magi, you are the ones who destroyed the respect of countries, and now taste what the people tasted from you, you pig… @user"
44,@user let guess اللاجئون السوريون؟,normal,indirect,sadness,origin,refugees,@user let guess Syrian refugees?
45,والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,normal,indirect,indifference,origin,other,"I swear, if you just leave the camel’s urine, you will wake up to yourself @url"
46,معا لحماية أطفالنا من التحرش الجنسي @url,normal,indirect,indifference,other,other,Together to protect our children from sexual harassment @url
47,@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,abusive_normal,direct,shock_indifference,gender,women,@user Because harassment is a means of deterring females from escaping the power and control of the higher sex
48,مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,disrespectful,indirect,shock,other,refugees,"The city of Bornheim, Germany, prevents adult Arab and Muslim refugees from entering a public swimming pool after receiving complaints from German women who were harassed."
49,@user @user بس يا شارب بول البعير يا عبد ال سلول,abusive_hateful,direct,shock,origin,other,"@user @user But, you drinker of camel urine, Abdul Salul"
50,@user @user @user هههعععععع اي علوم ههههه بول البعير,hateful,indirect,indifference,other,other,@user @user @user Hahahaha what science hahaha camel urine
51,عيل وسخ هسقطك. @url,offensive,direct,indifference,other,individual,"A dirty man, I will bring you down. @url"
52,ناقشه بمعزل تاااااااام عن قضية التبرج,normal,indirect,indifference,other,individual,Discuss it completely separate from the issue of grooming
53,الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url,hateful,indirect,indifference,other,other,"It seems that Brother Bronto has started drinking camel urine. I mean, if he drinks a little alcohol, it makes the heart happy. It is acceptable, but I drink 24 hours a day... @url"
54,@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ,offensive,indirect,indifference,other,individual,@user @user The camel's urine will be after my darling meal
55,@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,disrespectful,direct,anger_confusion_sadness_indifference_disgust,gender,women,"@user @user are undoubtedly innocent of it. I see what you said, a harem driver"
56,@user @user هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا… @url,hateful,indirect,indifference,other,other,"@user @user This is the problem with all the Banna pigs, they think that all others are just as obedient and obedient as they are, and I say this to others like… @url"
57,@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url,normal,direct,indifference,other,other,@user @user @user Stop the discussion immediately when you hear the camel’s urine... because those who have this idea think that you are delusional... @url
58,@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,abusive_disrespectful,direct,shock,origin,other,"@user @user What's wrong with you, you drinker of camel's urine, you are the tails of colonialism, you are Trump's cow"
59,@user @user اووووه يممممااااه تصدق خوفتني يا خنزير,offensive,indirect,anger_disgust,other,individual,"@user @user, oh, mmmm"
60,دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url,offensive,indirect,indifference,gender,women,It seems that she said that we should make a topic with the topics of these days.. I want to understand where the harassment is....files from 2016 @url
61,شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,offensive,indirect,indifference,gender,women,Harem work is not good for men. #Eduardo_rejects_the_national_slogan
62,شوفو ليكم حاجة غير التحرش ده البن… @url,normal,indirect,sadness,other,other,Look for something other than this harassment... @url
63,لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,offensive,direct,sadness,gender,women,"If tight clothing is a personal freedom, then harassment is a national duty...."
64,ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url,offensive,direct,anger_fear_indifference_sadness_disgust,other,other,"O world, 16 were killed in the Dog’s Tail prisons under torture in Syria, and I can be happy with the news. I swear to God, if I had anything to do with this matter... @url"
65,بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,disrespectful,indirect,indifference,other,other,"Camel urine makes you lose your manhood, chivalry, chivalry and jealousy @url"
66,ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,offensive,indirect,confusion_indifference,other,women,"Wow, I won the bribe.... why should he be silent? She got engaged"
67,بعد أفواج من المهاجرين السريين الأفارقة..ترحيل قاصرين مشردين من طنجة إلى تيزنيت: إنها سابقة خطيرة من نوعها وقعت في… @url,normal,direct,indifference,other,african_descent,After groups of African clandestine immigrants...the deportation of homeless minors from Tangier to Tiznit: This is a dangerous precedent of its kind that occurred in... @url
68,مزال مسمعناش الصفارة يعني مكانش التحرش .,normal,direct,indifference,other,women,"We still haven't heard the whistle, so there's no harassment."
69,صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,hateful,indirect,disgust,origin,muslims,"It is true that you and your women are our servants, and we make you drink camel urine according to your books and the fatwas of your leaders. You donkey, learn your Rafidi religion. Camel urine is a belief among... @user"
70,التحرش والشارع والمجال العام ما يكون آمن للنس… @url,normal,indirect,indifference,other,women,"Harassment, the street, and the public sphere are not safe for women... @url"
71,صباح الخير ايها اللاجئون,normal,indirect,indifference,other,refugees,"Good morning, refugees"
72,@user @user حرر بلدك يا خنزير,offensive,direct,anger_disgust,origin,individual,"@user @user Free your country, you pig"
73,@user @user خنزير اوبس,disrespectful,indirect,indifference,other,individual,@user @user Pig Ops
74,بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,offensive,indirect,indifference,other,other,"In short, they became pigs with their vulgarity, filth, and ugliness"
75,@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url,offensive,indirect,indifference_disgust,other,individual,"@user @user Firstly, Professor, respect yourself so that I can insult you with the most dirty words. Secondly, your four deals will not benefit you... @url"
76,من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,normal,indirect,indifference,other,special_needs,"Since my mind is too difficult to hold the mouse, I want to make a copy of the notes I wrote on the notebook and receive them by email."
77,عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,normal,indirect,sadness,other,african_descent,Inayat Andi is a Turkish doctor who helps thousands of Africans receive treatment for eye diseases
78,@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,normal,indirect,shock,origin,women,"@user Even if she has no grooms, she will be lonely and lonely, and no one will think about her as the Egyptian people, gentlemen."
79,يظل التحرش في نظر الانثي تحرشا,normal,direct,indifference,gender,women,"In the eyes of a female, harassment remains harassment"
80,دعسس خنازير #الإسرائيلي #عزمي_حم…,offensive,indirect,anger_disgust,other,other,#Israeli #Azmi_Ham...
81,ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url,disrespectful_normal,direct,sadness,other,women,"Second: If you are adorned, do not incite girls to… @url"
82,@user @user خنازير التحالف العربي,offensive,indirect,indifference,origin,other,@user @user Pigs of the Arab Alliance
83,@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,hateful,direct,shock,other,other,"@user @user Yes, by God, they are dogs, pigs, and only the grille is good for them. May God honor honorable followers only"
84,تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),offensive,direct,anger_sadness_shock_indifference_disgust,gender,women,"She goes out to the street wearing adornment and says, “Faith is in the heart.”"
85,لو كنت مشرعاً لجرمت التحرش . . ولكن كل ما كان زي الفتاة وسلوكها والظروف كان مشجعاً للتحرش . . كل ما كانت عقوبة المت… @url,abusive_normal,direct,shock,gender,women,"If I were a legislator, I would criminalize harassment. . But everything about the girl’s dress, behavior, and circumstances encouraged harassment. . Whatever the death penalty… @url"
86,يعني يلي بيشرب من بول البعير شو متوقع منو,abusive_disrespectful,direct,shock,other,other,"I mean, whoever drinks camel urine, what should be expected from him?"
87,ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url,normal,indirect,indifference,other,women,"Most feminists say that there is a return and a return, and the harassment was a result of the moment, as if there were never and never will be harassers and rapists unless… @url"
88,@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,offensive,direct,disgust,other,individual,"@user @user I swear to God, the wretched one speaks louder than the harem. The Bedouins deserve the best dog"
89,@user @user @user @user @user استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن… @url,normal,indirect,indifference,other,individual,"@user @user @user @user @user I ask forgiveness from God Almighty. He wrote, Glory be to God, and spoke dirty words... @url"
90,الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...,offensive,indirect,shock,other,other,"Peoples who see their freedom in their slavery cannot produce their leaders, but rather produce pigs who will devour them with showmanship, flattery, and flattery..."
91,نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url,offensive,indirect,indifference,gender,women,Advice on how to become a woman and throw yourself at your feet @url
92,@user مجموعت خنازير تنبح ليل نهار  اتفو عليكم ياعبادة المال,abusive_offensive,direct,indifference,other,other,"@user A group of pigs barking day and night. I curse you, you worshipers of money"
93,تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,offensive,indirect,anger_disgust,other,women,You will remain unmarried because it is not one of your goals to call you a prostitute or a prostitute!
94,@user @user لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير,abusive_offensive,direct,indifference,gender,individual,"@user @user No, no, you are speaking in the language of camels, and humans do not understand camels and camel urine."
95,بعدالودادوالنجمومازيمبي دورك يا حوريا#افريقيا_يا_اهلي,normal,direct,indifference,other,other,"After Wydad, the star, and Mazembe, your turn, mermaid #Africa_oh_my_family"
96,لا تصارع خنزير في الوحل..   فتتسخ أنت و يستمتع هو..,abusive_normal,indirect,indifference,other,other,Don't wrestle with a pig in the mud...you get dirty and he enjoys...
97,كما سبق وأكدنا القصاص عاجل وسريع فدماء أبناءنا اغلي وأطهر  من كل كنوز الدنيا_والتصفية هي المصير الحتمي لكل خنازير ا… @url,normal,indirect,shock,other,other,"As we have previously emphasized, retribution is urgent and quick, as the blood of our children is more precious and purified than all the treasures of the world - and liquidation is the inevitable fate of all pigs... @url"
98,@user @user لعنة الله عليك و علا اتباعك يا قريشي ياكلب يا شاربي بول البعير  يا عبيد امريكا @url,offensive_hateful,direct,anger_disgust,origin,other,"@user @user May God’s curse be upon you and your followers, you Qurayshi, you dog, you drinkers of camel’s urine, you slaves of America @url"
99,@user @user لا هندوس,normal,direct,indifference,religion,indian/hindu,@user @user No Hindus
100,@user من اللي يقول المصاريا يحبون الفلوس واللبناني قذر والتركي شايف نفسه والسوداني عجاز والعراقي لسانه وسخ ؟,offensive,direct,anger_shock,origin,arabs,"@user Who says Egyptians love money, the Lebanese are dirty, the Turkish sees himself, the Sudanese is incapable, and the Iraqi has a dirty tongue?"
101,@user لاء دكر واغلط والى يغلط فى بنت اصلا موش راجل  فا اغلط بتقول كمية اللفاظ محسسنى الى رباك كان وسخ,offensive,indirect,anger_disgust,other,other,"@user No mention and make a mistake, and the one who makes a mistake about a girl is not even a man, so make a mistake and say the amount of words makes me feel that you are dirty"
102,ولا حد يدعي انه رجل ويجيب سيرة الحريم,abusive_normal,indirect,indifference_disgust,other,individual,No one claims to be a man and responds to the history of the harem
103,@user @user @user اكيد شارب بول البعير مبين من كلامك لان هذه القاذورات التي تتلفض بها اس… @url,abusive_offensive_hateful_disrespectful_normal,indirect,sadness,other,individual,"@user @user @user Surely he must have drunk the camel’s urine, as is clear from your words, because this filth that you spew is… @url"
104,محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,offensive,direct,indifference,other,individual,No one is famous for this kabsa except us. We are the ones who treat it based on a personality and we are the Hindus.
105,@user @user @user هل تفكر بأن شرب بول البعير ليس بحلال وأنها نجسة ومكروهة ينفر منها الحيوان قب… @user,offensive,indirect,sadness,other,other,@user @user @user Do you think that drinking camel’s urine is not permissible and that it is impure and reprehensible and animals repel it before… @user
106,لاسف البنات بقوا بستغلوا الفهم التخلف دا لحاجات دينيه قطعيه ما فيها نقاش . ولو جينا لموضوع التحرش دا كوني. أكون محج… @url,fearful_disrespectful_hateful_normal,direct,sadness,gender,women,"Unfortunately, girls continue to exploit this backward understanding for definitive religious needs that are not up for discussion. If we come to this topic of harassment, be it. I will be a pilgrimage… @url"
107,والحريم مع الحريم ..  عناد شي ما صار  ..!!,disrespectful_normal,indirect,indifference,gender,women,And the harem with the harem.. the stubbornness of something happened..!!
108,@user @user @user يبد انكم جميعا راضعين من خنزير واحد كلكم تشتمون نفس الشتيمه,offensive,direct,indifference,origin,individual,@user @user @user It seems that you are all suckling from the same pig and you are all cursing the same curse.
109,@user من يشرب بول البعير لا يعرف كيف يستخدم قنابل #السعودية #اليمن,abusive_disrespectful,indirect,indifference_disgust,origin,other,@user Whoever drinks camel urine does not know how to use bombs #Saudi Arabia #Yemen
110,خنازير رافضيه نفقت .,disrespectful,indirect,shock,origin,other,Rafidah pigs died.
111,في فرق بين انك تكون اوبن مايندد وانك ماكل لحم خنزير.,disrespectful,indirect,indifference,other,individual,There is a difference between being open minded and eating pork.
112,@user نعم وأسلافنا سلموا أمر دينهم ورسالته لمجموعة من الجهلة والمغفلين فساقوا البشرية إلى شرب بول البعير,normal,indirect,indifference_disgust,other,other,"@user Yes, our ancestors handed over the matter of their religion and its message to a group of ignorant and foolish people, so they led humanity to drink camel urine."
113,لو فيك خير اخذوك بنات جماعتك م اعرضت نفسك هنا كنك وحده بايره #ثلاثيني_وسيم_يرغب_بالزواج,offensive,indirect,indifference_disgust,origin,individual,"If you were good, the girls of your group would take you, and you would not expose yourself here, as if you were alone and free."
114,انا متله متبرجة من سنة ويقدم ان شاءالله,offensive,direct,confusion_disgust,gender,women,"I have been beautified for a year and it will come forward, God willing"
115,شفيها لو طرشتي واتس تسولفين شوي مب لاازم فون مال ساعتين ترا مب كل الحريم لهن بارض هالكثر يسولفن والله,disrespectful_normal,indirect,sadness,gender,women,"Heal her, if you go out on WhatsApp to beg for a little while, I don't have to be on the phone for two hours, but all the harems on this land have a lot of people begging, I swear to God."
116,@user لا حلوين الحريم استاذ علي,normal,indirect,indifference,gender,women,"@user No, they are beautiful in the harem, Mr. Ali"
117,@user لقد قتلوه بخسه وغباء وحقاره ووضاعه وبالتأكيد تألم انه قتل علي ايدي اقذر اهل الارض وبأمر من خنزير,normal,direct,shock,other,other,"@user They killed him with meanness, stupidity, contempt, and lowliness, and he certainly felt pain that he was killed at the hands of the filthiest people on earth and by the order of a pig."
118,والله هدف ما يدخل في فريق فئات سنية.. هدف ساذج يا خنازير,disrespectful,indirect,shock,religion,other,"I swear to God, a goal that does not belong to a Sunni group team.. A naive goal, you pigs"
119,خنازير البغدادي يتبنون العمليه مساء أمس..,normal,direct,indifference,other,other,Al-Baghdadi’s pigs claimed responsibility for the operation yesterday evening..
120,عندما يختلط بول البعير ببول الحمير ففعل ما شئت . فقد رفع عنك القلم!!!,disrespectful,indirect,indifference,other,other,"When camel urine mixes with donkey urine, do whatever you want. The pen has been lifted from you!!!"
121,@user ممكن تبقي بايرة و نعمل جروب عوانس سواا؟؟,normal,indirect,shock,gender,women,@user Can you be a maid and we can create a group of spinsters together??
122,@user @user @user خنزير اكتروني @url,offensive,direct,shock,other,other,@user @user @user Electronic pig @url
123,فيه نوعية كلاب مسعورة هذه نظرتها في كل مجتمع وكل دولة,offensive_disrespectful,indirect,shock,other,other,It has the type of rabid dogs that are seen in every society and every country
124,@user @user @user تحتاج ان تفهم مشكلة اليمن اولا وبعدها نقدر نتكلم معك لا تنجرف مع خنازير الخنزيره,disrespectful,direct,indifference,other,individual,@user @user @user You need to understand the Yemen problem first and then we can talk to you. Do not get carried away with the pigs.
125,@user @user خنازير انجاس وخرفان اللهم انصر اخواننا بالسعودية وأهلنا بمصر عليهم يارب العالمين وتحيامصر تحيامصر تحيامصر,hateful,direct,anger_disgust,origin,other,"@user @user Impure pigs and sheep, O God, grant victory to our brothers in Saudi Arabia and our people in Egypt against them, O Lord of the worlds. Long live Egypt, long live Egypt, long live Egypt."
126,@user ي بول البعير شنو يعني عبد !!!,offensive,indirect,indifference,origin,individual,"@user Oh urine of the camel, what does a slave mean!!!"
127,@user @user تخلف يا شاربي بول البعير,abusive_hateful,direct,sadness,origin,individual,"@user @user You are retarded, you drinkers of camel urine"
128,حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,normal,indirect,indifference_disgust,other,other,Our government sold the citizens and bought the island's pigs who tarnished the reputation of the Qatari and our country in front of the world. What is strange is that they speak in our name and we give them money.
129,سؤال #منا_وجر اذا كانت الضحية بتتحمل مسؤولية التحرشالاغتصاب,offensive,indirect,indifference_disgust,other,women,A question #from us_wjr if the victim bears responsibility for harassment or rape
130,متتزوجيش و تعيشي الحياة بدون مايقولو بايرة و مسكينة,abusive_normal,direct,indifference,other,individual,Don't get married and live life without saying how miserable and poor you are
131,ياجماعه موضوع استعمال مزيلات العرق دا ، موضوع هادف و مثمر اكتر من التحرش ، والله محتاجين نتكلم فيو اكتر من اي حاجه… @url,normal,indirect,indifference,other,other,"Guys, this topic of using deodorants is a more purposeful and fruitful topic than harassment, and I swear we need to talk about it more than anything... @url"
132,بس وش اسوي لك إذا انتي مهبوله ولسانك وسخ يالوسخه,offensive,direct,indifference,other,individual,"But what can I do to you if you are stupid and your tongue is dirty, you filth"
133,@user @user بتاع بول البعير بيصرفوا عليك وعلى اهلك وعلى بلدك وعلى حكومتك وانت تبيع اللي وراك وقدامك عش… @url,hateful,direct,indifference,origin,individual,"@user @user The camel’s urine is spent on you, your family, your country, and your government, and you sell what is behind you and in front of you for a nest… @url"
134,متحنش لحد باعك يا وسخ,offensive,direct,indifference,other,individual,"Don't be jealous of anyone who sells you, you bastard"
135,كرم عويس أقامت مأدبة عشاء لزملائها في قناة الخنزيرة اعتقدوا كون والدها يعمل بالجيش الإسرائيلي تعود على أكل اليهود ف… @url,abusive_offensive,direct,indifference,other,individual,"Karam Owais hosted a dinner for her colleagues on Al-Zhagha TV channel. They thought that because her father worked in the Israeli army, he was accustomed to eating Jewish food... @url"
